time,beam_poa_w_m2,diffuse_poa_w_m2,reflected_poa_w_m2,H_sun,temp_air_c,wind_speed_m_s,Int,date,poa_w_m2
20180101:0009,0.0,0.0,0.0,0.0,15.27,5.17,0.0,2018-01-01 00:09:00,0.0
20180101:0109,0.0,0.0,0.0,0.0,14.63,4.76,0.0,2018-01-01 01:09:00,0.0
20180101:0209,0.0,0.0,0.0,0.0,14.0,4.76,0.0,2018-01-01 02:09:00,0.0
20180101:0309,0.0,0.0,0.0,0.0,13.25,4.62,0.0,2018-01-01 03:09:00,0.0
20180101:0409,0.0,0.0,0.0,0.0,12.36,4.48,0.0,2018-01-01 04:09:00,0.0
20180101:0509,0.0,0.0,0.0,0.0,11.54,4.55,0.0,2018-01-01 05:09:00,0.0
20180101:0609,0.0,0.0,0.0,0.0,10.87,4.76,0.0,2018-01-01 06:09:00,0.0
20180101:0709,27.2,14.6,0.18,2.48,10.57,4.76,0.0,2018-01-01 07:09:00,41.98
20180101:0809,271.96,101.38,2.01,13.76,11.1,4.83,0.0,2018-01-01 08:09:00,375.34999999999997
20180101:0909,265.95,205.81,3.22,23.82,13.54,5.24,0.0,2018-01-01 09:09:00,474.98
20180101:1009,760.55,109.07,5.57,31.99,16.55,5.93,0.0,2018-01-01 10:09:00,875.1899999999999
20180101:1109,887.0,107.79,6.54,37.39,19.28,6.62,0.0,2018-01-01 11:09:00,1001.3299999999999
20180101:1209,844.25,145.44,6.6,39.11,21.34,7.17,0.0,2018-01-01 12:09:00,996.2900000000001
20180101:1309,706.52,186.48,5.97,36.79,22.75,7.79,0.0,2018-01-01 13:09:00,898.97
20180101:1409,401.78,241.97,4.44,30.91,23.36,8.34,0.0,2018-01-01 14:09:00,648.19
20180101:1509,385.6,157.19,3.38,22.4,23.37,8.34,0.0,2018-01-01 15:09:00,546.17
20180101:1609,147.42,104.96,1.48,12.13,22.88,8.0,0.0,2018-01-01 16:09:00,253.85999999999999
20180101:1709,0.0,0.0,0.0,0.0,21.67,7.03,0.0,2018-01-01 17:09:00,0.0
20180101:1809,0.0,0.0,0.0,0.0,20.23,6.97,0.0,2018-01-01 18:09:00,0.0
20180101:1909,0.0,0.0,0.0,0.0,19.52,6.97,0.0,2018-01-01 19:09:00,0.0
20180101:2009,0.0,0.0,0.0,0.0,18.91,6.97,0.0,2018-01-01 20:09:00,0.0
20180101:2109,0.0,0.0,0.0,0.0,18.36,6.69,0.0,2018-01-01 21:09:00,0.0
20180101:2209,0.0,0.0,0.0,0.0,17.45,6.07,0.0,2018-01-01 22:09:00,0.0
20180101:2309,0.0,0.0,0.0,0.0,16.37,5.45,0.0,2018-01-01 23:09:00,0.0
20180102:0009,0.0,0.0,0.0,0.0,15.29,5.31,0.0,2018-01-02 00:09:00,0.0
20180102:0109,0.0,0.0,0.0,0.0,14.31,5.66,0.0,2018-01-02 01:09:00,0.0
20180102:0209,0.0,0.0,0.0,0.0,13.45,5.93,0.0,2018-01-02 02:09:00,0.0
20180102:0309,0.0,0.0,0.0,0.0,12.8,6.21,0.0,2018-01-02 03:09:00,0.0
20180102:0409,0.0,0.0,0.0,0.0,12.19,6.41,0.0,2018-01-02 04:09:00,0.0
20180102:0509,0.0,0.0,0.0,0.0,11.61,6.34,0.0,2018-01-02 05:09:00,0.0
20180102:0609,0.0,0.0,0.0,0.0,11.02,6.07,0.0,2018-01-02 06:09:00,0.0
20180102:0709,5.5,12.62,0.13,2.44,10.33,6.28,0.0,2018-01-02 07:09:00,18.249999999999996
20180102:0809,266.03,103.5,2.01,13.74,10.82,6.14,0.0,2018-01-02 08:09:00,371.53999999999996
20180102:0909,502.76,132.54,3.89,23.81,12.9,6.14,0.0,2018-01-02 09:09:00,639.1899999999999
20180102:1009,642.79,166.6,5.27,32.01,15.36,7.31,0.0,2018-01-02 10:09:00,814.66
20180102:1109,772.63,166.11,6.25,37.44,17.6,7.93,0.0,2018-01-02 11:09:00,944.99
20180102:1209,757.83,193.75,6.42,39.19,19.41,8.14,0.0,2018-01-02 12:09:00,958.0
20180102:1309,702.7,193.63,6.01,36.9,20.77,8.21,0.0,2018-01-02 13:09:00,902.34
20180102:1409,608.32,169.85,5.06,31.04,21.67,8.14,0.0,2018-01-02 14:09:00,783.23
20180102:1509,444.32,138.75,3.56,22.53,22.05,7.86,0.0,2018-01-02 15:09:00,586.6299999999999
20180102:1609,232.79,93.01,1.71,12.26,21.92,7.17,0.0,2018-01-02 16:09:00,327.51
20180102:1709,0.0,0.0,0.0,0.0,20.6,5.66,0.0,2018-01-02 17:09:00,0.0
20180102:1809,0.0,0.0,0.0,0.0,18.59,5.72,0.0,2018-01-02 18:09:00,0.0
20180102:1909,0.0,0.0,0.0,0.0,17.46,6.34,0.0,2018-01-02 19:09:00,0.0
20180102:2009,0.0,0.0,0.0,0.0,16.45,6.48,0.0,2018-01-02 20:09:00,0.0
20180102:2109,0.0,0.0,0.0,0.0,15.52,6.07,0.0,2018-01-02 21:09:00,0.0
20180102:2209,0.0,0.0,0.0,0.0,14.61,5.52,0.0,2018-01-02 22:09:00,0.0
20180102:2309,0.0,0.0,0.0,0.0,13.62,5.03,0.0,2018-01-02 23:09:00,0.0
20180103:0009,0.0,0.0,0.0,0.0,12.51,4.76,0.0,2018-01-03 00:09:00,0.0
20180103:0109,0.0,0.0,0.0,0.0,11.4,4.83,0.0,2018-01-03 01:09:00,0.0
20180103:0209,0.0,0.0,0.0,0.0,10.46,5.31,0.0,2018-01-03 02:09:00,0.0
20180103:0309,0.0,0.0,0.0,0.0,9.75,5.52,0.0,2018-01-03 03:09:00,0.0
20180103:0409,0.0,0.0,0.0,0.0,9.15,5.31,0.0,2018-01-03 04:09:00,0.0
20180103:0509,0.0,0.0,0.0,0.0,8.56,5.03,0.0,2018-01-03 05:09:00,0.0
20180103:0609,0.0,0.0,0.0,0.0,8.04,4.83,0.0,2018-01-03 06:09:00,0.0
20180103:0709,5.55,11.65,0.12,2.4,7.84,4.9,0.0,2018-01-03 07:09:00,17.32
20180103:0809,265.78,104.87,2.01,13.72,8.79,5.1,0.0,2018-01-03 08:09:00,372.65999999999997
20180103:0909,521.26,125.66,3.94,23.82,11.7,5.52,0.0,2018-01-03 09:09:00,650.86
20180103:1009,645.04,166.62,5.29,32.04,15.07,6.21,0.0,2018-01-03 10:09:00,816.9499999999999
20180103:1109,774.64,167.35,6.28,37.5,17.96,6.34,0.0,2018-01-03 11:09:00,948.27
20180103:1209,761.18,193.74,6.45,39.29,20.18,6.14,0.0,2018-01-03 12:09:00,961.37
20180103:1309,720.39,186.84,6.07,37.02,21.69,5.93,0.0,2018-01-03 13:09:00,913.3000000000001
20180103:1409,648.86,152.62,5.18,31.17,22.64,5.86,0.0,2018-01-03 14:09:00,806.66
20180103:1509,447.87,140.0,3.6,22.67,23.07,5.93,0.0,2018-01-03 15:09:00,591.47
20180103:1609,245.24,91.24,1.76,12.4,22.87,5.86,0.0,2018-01-03 16:09:00,338.24
20180103:1709,0.0,0.0,0.0,0.0,21.49,5.1,0.0,2018-01-03 17:09:00,0.0
20180103:1809,0.0,0.0,0.0,0.0,19.41,5.45,0.0,2018-01-03 18:09:00,0.0
20180103:1909,0.0,0.0,0.0,0.0,18.68,5.86,0.0,2018-01-03 19:09:00,0.0
20180103:2009,0.0,0.0,0.0,0.0,17.7,5.86,0.0,2018-01-03 20:09:00,0.0
20180103:2109,0.0,0.0,0.0,0.0,16.82,5.59,0.0,2018-01-03 21:09:00,0.0
20180103:2209,0.0,0.0,0.0,0.0,15.93,5.1,0.0,2018-01-03 22:09:00,0.0
20180103:2309,0.0,0.0,0.0,0.0,14.98,4.76,0.0,2018-01-03 23:09:00,0.0
20180104:0009,0.0,0.0,0.0,0.0,13.95,4.41,0.0,2018-01-04 00:09:00,0.0
20180104:0109,0.0,0.0,0.0,0.0,12.88,4.21,0.0,2018-01-04 01:09:00,0.0
20180104:0209,0.0,0.0,0.0,0.0,11.83,4.14,0.0,2018-01-04 02:09:00,0.0
20180104:0309,0.0,0.0,0.0,0.0,10.88,4.14,0.0,2018-01-04 03:09:00,0.0
20180104:0409,0.0,0.0,0.0,0.0,10.04,4.14,0.0,2018-01-04 04:09:00,0.0
20180104:0509,0.0,0.0,0.0,0.0,9.29,4.14,0.0,2018-01-04 05:09:00,0.0
20180104:0609,0.0,0.0,0.0,0.0,8.7,4.21,0.0,2018-01-04 06:09:00,0.0
20180104:0709,5.59,11.66,0.12,2.37,8.33,4.41,0.0,2018-01-04 07:09:00,17.37
20180104:0809,265.44,102.07,2.0,13.7,9.12,4.41,0.0,2018-01-04 08:09:00,369.51
20180104:0909,477.74,139.88,3.81,23.82,12.06,4.48,0.0,2018-01-04 09:09:00,621.43
20180104:1009,661.98,154.54,5.31,32.08,15.6,4.97,0.0,2018-01-04 10:09:00,821.8299999999999
20180104:1109,752.2,173.76,6.19,37.57,18.53,5.45,0.0,2018-01-04 11:09:00,932.1500000000001
20180104:1209,754.5,193.17,6.41,39.39,20.63,5.45,0.0,2018-01-04 12:09:00,954.0799999999999
20180104:1309,713.55,187.46,6.04,37.15,22.06,4.9,0.0,2018-01-04 13:09:00,907.05
20180104:1409,655.01,147.47,5.19,31.31,22.92,4.14,0.0,2018-01-04 14:09:00,807.6700000000001
20180104:1509,452.95,136.08,3.61,22.81,23.31,3.59,0.0,2018-01-04 15:09:00,592.64
20180104:1609,247.59,91.03,1.78,12.54,23.26,3.24,0.0,2018-01-04 16:09:00,340.4
20180104:1709,0.0,0.0,0.0,0.0,22.11,2.9,0.0,2018-01-04 17:09:00,0.0
20180104:1809,0.0,0.0,0.0,0.0,19.84,3.79,0.0,2018-01-04 18:09:00,0.0
20180104:1909,0.0,0.0,0.0,0.0,18.48,4.69,0.0,2018-01-04 19:09:00,0.0
20180104:2009,0.0,0.0,0.0,0.0,17.16,4.76,0.0,2018-01-04 20:09:00,0.0
20180104:2109,0.0,0.0,0.0,0.0,16.0,4.62,0.0,2018-01-04 21:09:00,0.0
20180104:2209,0.0,0.0,0.0,0.0,14.91,4.34,0.0,2018-01-04 22:09:00,0.0
20180104:2309,0.0,0.0,0.0,0.0,13.86,4.14,0.0,2018-01-04 23:09:00,0.0
20180105:0009,0.0,0.0,0.0,0.0,12.82,4.0,0.0,2018-01-05 00:09:00,0.0
20180105:0109,0.0,0.0,0.0,0.0,11.8,3.93,0.0,2018-01-05 01:09:00,0.0
20180105:0209,0.0,0.0,0.0,0.0,10.8,3.66,0.0,2018-01-05 02:09:00,0.0
20180105:0309,0.0,0.0,0.0,0.0,9.76,3.45,0.0,2018-01-05 03:09:00,0.0
20180105:0409,0.0,0.0,0.0,0.0,8.76,3.38,0.0,2018-01-05 04:09:00,0.0
20180105:0509,0.0,0.0,0.0,0.0,7.82,3.31,0.0,2018-01-05 05:09:00,0.0
20180105:0609,0.0,0.0,0.0,0.0,6.94,3.1,0.0,2018-01-05 06:09:00,0.0
20180105:0709,5.62,10.69,0.11,2.34,6.36,2.97,0.0,2018-01-05 07:09:00,16.419999999999998
20180105:0809,266.94,102.22,2.01,13.69,6.66,2.34,0.0,2018-01-05 08:09:00,371.16999999999996
20180105:0909,478.63,141.17,3.83,23.84,10.08,1.72,0.0,2018-01-05 09:09:00,623.63
20180105:1009,640.43,166.07,5.27,32.12,14.35,1.17,0.0,2018-01-05 10:09:00,811.77
20180105:1109,726.88,188.74,6.16,37.65,17.27,0.76,0.0,2018-01-05 11:09:00,921.78
20180105:1209,743.51,201.14,6.41,39.5,19.34,0.28,0.0,2018-01-05 12:09:00,951.06
20180105:1309,733.9,179.46,6.12,37.28,20.73,0.21,0.0,2018-01-05 13:09:00,919.48
20180105:1409,624.01,164.82,5.14,31.46,21.64,0.76,0.0,2018-01-05 14:09:00,793.9699999999999
20180105:1509,493.16,121.29,3.73,22.96,22.06,1.31,0.0,2018-01-05 15:09:00,618.1800000000001
20180105:1609,261.65,89.3,1.84,12.68,22.02,1.79,0.0,2018-01-05 16:09:00,352.78999999999996
20180105:1709,0.0,0.0,0.0,0.0,21.27,2.07,0.0,2018-01-05 17:09:00,0.0
20180105:1809,0.0,0.0,0.0,0.0,19.79,2.41,0.0,2018-01-05 18:09:00,0.0
20180105:1909,0.0,0.0,0.0,0.0,18.68,2.21,0.0,2018-01-05 19:09:00,0.0
20180105:2009,0.0,0.0,0.0,0.0,17.02,2.07,0.0,2018-01-05 20:09:00,0.0
20180105:2109,0.0,0.0,0.0,0.0,15.37,2.14,0.0,2018-01-05 21:09:00,0.0
20180105:2209,0.0,0.0,0.0,0.0,14.02,2.48,0.0,2018-01-05 22:09:00,0.0
20180105:2309,0.0,0.0,0.0,0.0,12.94,2.9,0.0,2018-01-05 23:09:00,0.0
20180106:0009,0.0,0.0,0.0,0.0,11.91,3.17,0.0,2018-01-06 00:09:00,0.0
20180106:0109,0.0,0.0,0.0,0.0,10.97,3.45,0.0,2018-01-06 01:09:00,0.0
20180106:0209,0.0,0.0,0.0,0.0,10.13,3.59,0.0,2018-01-06 02:09:00,0.0
20180106:0309,0.0,0.0,0.0,0.0,9.38,3.72,0.0,2018-01-06 03:09:00,0.0
20180106:0409,0.0,0.0,0.0,0.0,8.7,3.79,0.0,2018-01-06 04:09:00,0.0
20180106:0509,0.0,0.0,0.0,0.0,8.05,4.0,0.0,2018-01-06 05:09:00,0.0
20180106:0609,0.0,0.0,0.0,0.0,7.49,4.07,0.0,2018-01-06 06:09:00,0.0
20180106:0709,16.94,12.1,0.14,2.32,7.07,4.14,0.0,2018-01-06 07:09:00,29.18
20180106:0809,268.35,102.35,2.01,13.69,7.91,4.14,0.0,2018-01-06 08:09:00,372.71000000000004
20180106:0909,492.1,136.77,3.88,23.85,11.12,4.34,0.0,2018-01-06 09:09:00,632.75
20180106:1009,632.13,173.11,5.28,32.17,14.73,5.31,0.0,2018-01-06 10:09:00,810.52
20180106:1109,791.57,158.63,6.34,37.74,17.56,6.21,0.0,2018-01-06 11:09:00,956.5400000000001
20180106:1209,810.41,170.16,6.61,39.62,19.73,6.97,0.0,2018-01-06 12:09:00,987.18
20180106:1309,841.4,131.1,6.45,37.42,21.26,7.66,0.0,2018-01-06 13:09:00,978.95
20180106:1409,377.14,258.63,4.48,31.61,22.23,8.41,0.0,2018-01-06 14:09:00,640.25
20180106:1509,159.6,209.14,2.75,23.11,22.62,9.03,0.0,2018-01-06 15:09:00,371.49
20180106:1609,232.49,99.28,1.8,12.83,22.4,8.83,0.0,2018-01-06 16:09:00,333.57
20180106:1709,0.0,0.0,0.0,0.0,21.27,7.31,0.0,2018-01-06 17:09:00,0.0
20180106:1809,0.0,0.0,0.0,0.0,19.73,6.97,0.0,2018-01-06 18:09:00,0.0
20180106:1909,0.0,0.0,0.0,0.0,18.95,7.24,0.0,2018-01-06 19:09:00,0.0
20180106:2009,0.0,0.0,0.0,0.0,18.2,7.66,0.0,2018-01-06 20:09:00,0.0
20180106:2109,0.0,0.0,0.0,0.0,17.54,7.93,0.0,2018-01-06 21:09:00,0.0
20180106:2209,0.0,0.0,0.0,0.0,16.8,7.66,0.0,2018-01-06 22:09:00,0.0
20180106:2309,0.0,0.0,0.0,0.0,15.75,6.69,0.0,2018-01-06 23:09:00,0.0
20180107:0009,0.0,0.0,0.0,0.0,14.53,5.66,0.0,2018-01-07 00:09:00,0.0
20180107:0109,0.0,0.0,0.0,0.0,13.47,4.97,0.0,2018-01-07 01:09:00,0.0
20180107:0209,0.0,0.0,0.0,0.0,12.69,4.76,0.0,2018-01-07 02:09:00,0.0
20180107:0309,0.0,0.0,0.0,0.0,12.05,4.9,0.0,2018-01-07 03:09:00,0.0
20180107:0409,0.0,0.0,0.0,0.0,11.47,4.97,0.0,2018-01-07 04:09:00,0.0
20180107:0509,0.0,0.0,0.0,0.0,10.9,5.03,0.0,2018-01-07 05:09:00,0.0
20180107:0609,0.0,0.0,0.0,0.0,10.41,5.17,0.0,2018-01-07 06:09:00,0.0
20180107:0709,16.98,12.1,0.14,2.3,9.89,5.38,0.0,2018-01-07 07:09:00,29.22
20180107:0809,275.37,94.73,2.0,13.69,10.24,5.66,0.0,2018-01-07 08:09:00,372.1
20180107:0909,507.02,123.01,3.87,23.88,12.01,6.21,0.0,2018-01-07 09:09:00,633.9
20180107:1009,681.16,139.49,5.34,32.23,13.83,7.93,0.0,2018-01-07 10:09:00,825.99
20180107:1109,803.21,143.46,6.31,37.83,15.22,8.76,0.0,2018-01-07 11:09:00,952.98
20180107:1209,827.51,151.47,6.59,39.74,16.25,9.17,0.0,2018-01-07 12:09:00,985.57
20180107:1309,828.47,129.11,6.36,37.57,17.12,9.59,0.0,2018-01-07 13:09:00,963.94
20180107:1409,460.4,227.08,4.69,31.76,18.12,11.1,0.0,2018-01-07 14:09:00,692.1700000000001
20180107:1509,268.81,192.93,3.13,23.27,18.39,11.03,0.0,2018-01-07 15:09:00,464.87
20180107:1609,15.52,89.17,0.93,12.98,18.39,10.69,0.0,2018-01-07 16:09:00,105.62
20180107:1709,0.0,0.0,0.0,0.0,18.24,8.97,0.0,2018-01-07 17:09:00,0.0
20180107:1809,0.0,0.0,0.0,0.0,17.44,7.03,0.0,2018-01-07 18:09:00,0.0
20180107:1909,0.0,0.0,0.0,0.0,16.8,5.66,0.0,2018-01-07 19:09:00,0.0
20180107:2009,0.0,0.0,0.0,0.0,15.93,4.97,0.0,2018-01-07 20:09:00,0.0
20180107:2109,0.0,0.0,0.0,0.0,15.02,4.69,0.0,2018-01-07 21:09:00,0.0
20180107:2209,0.0,0.0,0.0,0.0,14.12,4.76,0.0,2018-01-07 22:09:00,0.0
20180107:2309,0.0,0.0,0.0,0.0,13.22,4.76,0.0,2018-01-07 23:09:00,0.0
20180108:0009,0.0,0.0,0.0,0.0,12.29,4.76,0.0,2018-01-08 00:09:00,0.0
20180108:0109,0.0,0.0,0.0,0.0,11.31,4.83,0.0,2018-01-08 01:09:00,0.0
20180108:0209,0.0,0.0,0.0,0.0,10.43,4.83,0.0,2018-01-08 02:09:00,0.0
20180108:0309,0.0,0.0,0.0,0.0,9.64,4.83,0.0,2018-01-08 03:09:00,0.0
20180108:0409,0.0,0.0,0.0,0.0,8.91,4.76,0.0,2018-01-08 04:09:00,0.0
20180108:0509,0.0,0.0,0.0,0.0,8.21,4.62,0.0,2018-01-08 05:09:00,0.0
20180108:0609,0.0,0.0,0.0,0.0,7.58,4.48,0.0,2018-01-08 06:09:00,0.0
20180108:0709,0.0,4.76,0.05,2.29,6.95,3.93,0.0,2018-01-08 07:09:00,4.81
20180108:0809,7.58,86.86,0.88,13.69,7.52,3.72,0.0,2018-01-08 08:09:00,95.32
20180108:0909,122.96,215.08,2.65,23.91,9.56,3.45,0.0,2018-01-08 09:09:00,340.69
20180108:1009,765.19,107.16,5.63,32.29,11.75,3.59,0.0,2018-01-08 10:09:00,877.98
20180108:1109,836.1,132.86,6.46,37.93,13.51,3.86,0.0,2018-01-08 11:09:00,975.4200000000001
20180108:1209,910.87,116.55,6.88,39.87,14.96,4.34,0.0,2018-01-08 12:09:00,1034.3000000000002
20180108:1309,863.98,116.99,6.51,37.72,16.08,5.1,0.0,2018-01-08 13:09:00,987.48
20180108:1409,718.42,121.78,5.43,31.92,16.92,5.72,0.0,2018-01-08 14:09:00,845.6299999999999
20180108:1509,521.49,112.52,3.86,23.43,17.36,5.93,0.0,2018-01-08 15:09:00,637.87
20180108:1609,281.22,85.55,1.93,13.14,17.42,5.79,0.0,2018-01-08 16:09:00,368.70000000000005
20180108:1709,0.0,2.86,0.03,1.69,16.87,4.69,0.0,2018-01-08 17:09:00,2.8899999999999997
20180108:1809,0.0,0.0,0.0,0.0,15.5,3.52,0.0,2018-01-08 18:09:00,0.0
20180108:1909,0.0,0.0,0.0,0.0,14.56,2.76,0.0,2018-01-08 19:09:00,0.0
20180108:2009,0.0,0.0,0.0,0.0,13.3,2.76,0.0,2018-01-08 20:09:00,0.0
20180108:2109,0.0,0.0,0.0,0.0,12.0,2.69,0.0,2018-01-08 21:09:00,0.0
20180108:2209,0.0,0.0,0.0,0.0,10.76,2.62,0.0,2018-01-08 22:09:00,0.0
20180108:2309,0.0,0.0,0.0,0.0,9.62,2.69,0.0,2018-01-08 23:09:00,0.0
20180109:0009,0.0,0.0,0.0,0.0,8.56,2.76,0.0,2018-01-09 00:09:00,0.0
20180109:0109,0.0,0.0,0.0,0.0,7.59,2.83,0.0,2018-01-09 01:09:00,0.0
20180109:0209,0.0,0.0,0.0,0.0,6.76,3.03,0.0,2018-01-09 02:09:00,0.0
20180109:0309,0.0,0.0,0.0,0.0,6.0,3.1,0.0,2018-01-09 03:09:00,0.0
20180109:0409,0.0,0.0,0.0,0.0,5.21,2.97,0.0,2018-01-09 04:09:00,0.0
20180109:0509,0.0,0.0,0.0,0.0,4.4,2.9,0.0,2018-01-09 05:09:00,0.0
20180109:0609,0.0,0.0,0.0,0.0,3.53,2.83,0.0,2018-01-09 06:09:00,0.0
20180109:0709,0.0,0.0,0.0,0.0,2.71,2.62,0.0,2018-01-09 07:09:00,0.0
20180109:0809,273.95,98.57,2.02,13.71,2.86,2.14,0.0,2018-01-09 08:09:00,374.53999999999996
20180109:0909,504.99,127.93,3.91,23.95,6.16,1.38,0.0,2018-01-09 09:09:00,636.83
20180109:1009,689.05,142.14,5.42,32.36,9.74,0.97,0.0,2018-01-09 10:09:00,836.6099999999999
20180109:1109,811.92,147.3,6.42,38.03,12.16,1.03,0.0,2018-01-09 11:09:00,965.64
20180109:1209,837.38,155.27,6.7,40.01,14.32,1.59,0.0,2018-01-09 12:09:00,999.35
20180109:1309,806.79,147.26,6.38,37.88,16.0,2.34,0.0,2018-01-09 13:09:00,960.43
20180109:1409,688.76,138.58,5.39,32.09,17.04,3.03,0.0,2018-01-09 14:09:00,832.73
20180109:1509,514.89,118.5,3.88,23.6,17.42,3.24,0.0,2018-01-09 15:09:00,637.27
20180109:1609,281.09,87.87,1.96,13.3,17.35,3.31,0.0,2018-01-09 16:09:00,370.91999999999996
20180109:1709,0.0,3.81,0.04,1.84,16.7,2.9,0.0,2018-01-09 17:09:00,3.85
20180109:1809,0.0,0.0,0.0,0.0,15.24,2.9,0.0,2018-01-09 18:09:00,0.0
20180109:1909,0.0,0.0,0.0,0.0,14.19,2.9,0.0,2018-01-09 19:09:00,0.0
20180109:2009,0.0,0.0,0.0,0.0,12.95,2.9,0.0,2018-01-09 20:09:00,0.0
20180109:2109,0.0,0.0,0.0,0.0,11.74,2.69,0.0,2018-01-09 21:09:00,0.0
20180109:2209,0.0,0.0,0.0,0.0,10.53,2.69,0.0,2018-01-09 22:09:00,0.0
20180109:2309,0.0,0.0,0.0,0.0,9.36,2.69,0.0,2018-01-09 23:09:00,0.0
20180110:0009,0.0,0.0,0.0,0.0,8.28,2.69,0.0,2018-01-10 00:09:00,0.0
20180110:0109,0.0,0.0,0.0,0.0,7.39,2.83,0.0,2018-01-10 01:09:00,0.0
20180110:0209,0.0,0.0,0.0,0.0,6.61,3.03,0.0,2018-01-10 02:09:00,0.0
20180110:0309,0.0,0.0,0.0,0.0,5.94,3.17,0.0,2018-01-10 03:09:00,0.0
20180110:0409,0.0,0.0,0.0,0.0,5.39,3.24,0.0,2018-01-10 04:09:00,0.0
20180110:0509,0.0,0.0,0.0,0.0,4.9,3.31,0.0,2018-01-10 05:09:00,0.0
20180110:0609,0.0,0.0,0.0,0.0,4.47,3.38,0.0,2018-01-10 06:09:00,0.0
20180110:0709,0.0,0.0,0.0,0.0,4.44,3.45,0.0,2018-01-10 07:09:00,0.0
20180110:0809,275.01,94.4,2.01,13.72,5.34,3.17,0.0,2018-01-10 08:09:00,371.41999999999996
20180110:0909,483.45,132.91,3.83,23.99,8.92,2.83,0.0,2018-01-10 09:09:00,620.19
20180110:1009,664.32,148.48,5.33,32.44,13.28,2.55,0.0,2018-01-10 10:09:00,818.1300000000001
20180110:1109,786.34,152.45,6.31,38.14,15.9,2.48,0.0,2018-01-10 11:09:00,945.0999999999999
20180110:1209,779.55,177.87,6.51,40.16,17.33,2.34,0.0,2018-01-10 12:09:00,963.93
20180110:1309,782.42,152.39,6.28,38.05,18.44,2.48,0.0,2018-01-10 13:09:00,941.0899999999999
20180110:1409,667.98,142.44,5.3,32.26,19.23,2.9,0.0,2018-01-10 14:09:00,815.72
20180110:1509,492.54,123.38,3.8,23.76,19.59,3.17,0.0,2018-01-10 15:09:00,619.72
20180110:1609,277.12,88.37,1.96,13.46,19.47,3.24,0.0,2018-01-10 16:09:00,367.45
20180110:1709,0.0,4.76,0.05,1.99,18.78,2.9,0.0,2018-01-10 17:09:00,4.81
20180110:1809,0.0,0.0,0.0,0.0,17.29,3.03,0.0,2018-01-10 18:09:00,0.0
20180110:1909,0.0,0.0,0.0,0.0,16.34,2.97,0.0,2018-01-10 19:09:00,0.0
20180110:2009,0.0,0.0,0.0,0.0,15.11,3.03,0.0,2018-01-10 20:09:00,0.0
20180110:2109,0.0,0.0,0.0,0.0,13.93,2.97,0.0,2018-01-10 21:09:00,0.0
20180110:2209,0.0,0.0,0.0,0.0,12.78,2.97,0.0,2018-01-10 22:09:00,0.0
20180110:2309,0.0,0.0,0.0,0.0,11.65,2.83,0.0,2018-01-10 23:09:00,0.0
20180111:0009,0.0,0.0,0.0,0.0,10.5,2.62,0.0,2018-01-11 00:09:00,0.0
20180111:0109,0.0,0.0,0.0,0.0,9.46,2.41,0.0,2018-01-11 01:09:00,0.0
20180111:0209,0.0,0.0,0.0,0.0,8.54,2.34,0.0,2018-01-11 02:09:00,0.0
20180111:0309,0.0,0.0,0.0,0.0,7.77,2.34,0.0,2018-01-11 03:09:00,0.0
20180111:0409,0.0,0.0,0.0,0.0,7.16,2.28,0.0,2018-01-11 04:09:00,0.0
20180111:0509,0.0,0.0,0.0,0.0,6.85,2.07,0.0,2018-01-11 05:09:00,0.0
20180111:0609,0.0,0.0,0.0,0.0,7.23,1.66,0.0,2018-01-11 06:09:00,0.0
20180111:0709,0.0,9.53,0.09,2.28,6.54,1.66,0.0,2018-01-11 07:09:00,9.62
20180111:0809,274.11,94.18,2.01,13.75,6.97,1.52,0.0,2018-01-11 08:09:00,370.3
20180111:0909,491.69,128.02,3.85,24.04,9.39,1.31,0.0,2018-01-11 09:09:00,623.5600000000001
20180111:1009,662.98,148.2,5.33,32.52,13.32,1.79,0.0,2018-01-11 10:09:00,816.5100000000001
20180111:1109,796.19,147.51,6.34,38.26,15.7,2.21,0.0,2018-01-11 11:09:00,950.0400000000001
20180111:1209,808.96,162.51,6.6,40.31,17.56,2.62,0.0,2018-01-11 12:09:00,978.07
20180111:1309,803.43,144.0,6.36,38.22,18.95,2.83,0.0,2018-01-11 13:09:00,953.79
20180111:1409,677.92,138.71,5.35,32.44,19.85,2.76,0.0,2018-01-11 14:09:00,821.98
20180111:1509,492.25,124.28,3.82,23.94,20.29,2.41,0.0,2018-01-11 15:09:00,620.35
20180111:1609,286.36,87.34,2.01,13.63,20.31,2.0,0.0,2018-01-11 16:09:00,375.71000000000004
20180111:1709,0.0,6.67,0.07,2.15,19.86,1.52,0.0,2018-01-11 17:09:00,6.74
20180111:1809,0.0,0.0,0.0,0.0,18.94,1.79,0.0,2018-01-11 18:09:00,0.0
20180111:1909,0.0,0.0,0.0,0.0,17.48,2.62,0.0,2018-01-11 19:09:00,0.0
20180111:2009,0.0,0.0,0.0,0.0,16.01,2.55,0.0,2018-01-11 20:09:00,0.0
20180111:2109,0.0,0.0,0.0,0.0,14.53,2.28,0.0,2018-01-11 21:09:00,0.0
20180111:2209,0.0,0.0,0.0,0.0,13.14,2.14,0.0,2018-01-11 22:09:00,0.0
20180111:2309,0.0,0.0,0.0,0.0,12.22,2.0,0.0,2018-01-11 23:09:00,0.0
